sede_id,nucleo,tipo,tipo_sigla,nombre,zona_territorial,tipo_territorio,codigo_territorio,territorio,barrio_vereda,caracter,confianza,observacion_tecnica,estado,qr_url,map_x,map_y
MED-915-020,915,Sección Escuela,SEC,SEC ESC LA ISLA,Zona Nororiental,Comuna,2,Santa Cruz,La Isla,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-020#registro,55,18
MED-915-021,915,Sección Escuela,SEC,SEC ESC MUNICIPAL LA ROSA,Zona Nororiental,Comuna,2,Santa Cruz,Santa Cruz / La Rosa,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-021#registro,55,18
MED-915-022,915,Sección Escuela,SEC,SEC ESC VILLA NIZA,Zona Nororiental,Comuna,2,Santa Cruz,Villa Niza,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-022#registro,55,18
MED-915-023,915,Sección Preescolarolar,SEC,SEC PREESC EL PLAYON,Zona Nororiental,Comuna,2,Santa Cruz,El Playón de los Comuneros,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-915-023#registro,55,18
MED-916-001,916,Institución Educativa,IE,INST EDUC ALVARO MARIN VELASCO,Zona Nororiental,Comuna,3,Manrique,Santa Inés,Urbano,Media,Inferencia territorial por ubicación institucional conocida.,Activa,index.html?sede=MED-916-001#registro,66,31
MED-916-002,916,Institución Educativa,IE,INST EDUC ENRIQUE OLAYA HERRERA,Zona Nororiental,Comuna,3,Manrique,Manrique Central,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-002#registro,66,31
MED-916-003,916,Institución Educativa,IE,INST EDUC FE Y ALEGRIA LA CIMA,Zona Nororiental,Comuna,3,Manrique,La Cima,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-003#registro,66,31
MED-916-004,916,Institución Educativa,IE,INST EDUC GABRIEL RESTREPO MORENO,Zona Nororiental,Comuna,3,Manrique,Las Granjas,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-004#registro,66,31
MED-916-005,916,Institución Educativa,IE,INST EDUC HERNAN TORO AGUDELO,Zona Nororiental,Comuna,3,Manrique,Campo Valdés #2,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-005#registro,66,31
MED-916-006,916,Institución Educativa,IE,INST EDUC JOSE ANTONIO GALAN,Zona Nororiental,Comuna,3,Manrique,La Salle,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-006#registro,66,31
MED-916-007,916,Institución Educativa,IE,INST EDUC JOSE ROBERTO VASQUEZ,Zona Nororiental,Comuna,3,Manrique,El Pomar,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-007#registro,66,31
MED-916-008,916,Institución Educativa,IE,INST EDUC LAS NIEVES,Zona Nororiental,Comuna,3,Manrique,Santa Inés,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-008#registro,66,31
MED-916-009,916,Institución Educativa,IE,INST EDUC MANUELA BELTRAN,Zona Nororiental,Comuna,3,Manrique,Manrique Oriental,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-009#registro,66,31
MED-916-010,916,Institución Educativa,IE,INST EDUC MONTECARLO GUILLERMO GAVIRIA CORREA,Zona Nororiental,Comuna,3,Manrique,Las Granjas,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-010#registro,66,31
MED-916-011,916,Institución Educativa,IE,INST EDUC PEDRO LUIS VILLA,Zona Nororiental,Comuna,3,Manrique,Manrique Central #2,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-011#registro,66,31
MED-916-012,916,Institución Educativa,IE,INST EDUC RAMON MUNERA LOPERA,Zona Nororiental,Comuna,3,Manrique,Raizal / Manrique,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-012#registro,66,31
MED-916-013,916,Institución Educativa,IE,INST EDUC REINO DE BELGICA,Zona Nororiental,Comuna,3,Manrique,Manrique,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-013#registro,66,31
MED-916-014,916,Institución Educativa,IE,INST EDUC RODRIGO LARA BONILLA,Zona Nororiental,Comuna,3,Manrique,Bello Oriente,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-014#registro,66,31
MED-916-015,916,Institución Educativa,IE,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,Zona Nororiental,Comuna,3,Manrique,La Salle,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-015#registro,66,31
MED-916-016,916,Institución Educativa,IE,INST EDUC SAN LORENZO DE ABURRA,Zona Nororiental,Comuna,3,Manrique,Manrique,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-016#registro,66,31
MED-916-017,916,Sección Escuela,SEC,SEC ESC ALTO DE LA CRUZ,Zona Nororiental,Comuna,3,Manrique,Bello Oriente,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-017#registro,66,31
MED-916-018,916,Sección Escuela,SEC,SEC ESC BALDOMERO SANIN CANO,Zona Nororiental,Comuna,3,Manrique,El Raizal,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-018#registro,66,31
MED-916-019,916,Sección Escuela,SEC,SEC ESC BELLO ORIENTE,Zona Nororiental,Comuna,3,Manrique,Bello Oriente,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-019#registro,66,31
MED-916-020,916,Sección Escuela,SEC,SEC ESC BELLO ORIENTE,Zona Nororiental,Comuna,3,Manrique,Bello Oriente,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-020#registro,66,31
MED-916-021,916,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA NO 3,Zona Nororiental,Comuna,3,Manrique,Las Granjas,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-021#registro,66,31
MED-916-022,916,Sección Escuela,SEC,SEC ESC JOSE MANUEL MORA VASQUEZ,Zona Nororiental,Comuna,3,Manrique,El Pomar,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-022#registro,66,31
MED-916-023,916,Sección Escuela,SEC,SEC ESC LA CIMA SAN JOSE,Zona Nororiental,Comuna,3,Manrique,La Cima,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-023#registro,66,31
MED-916-024,916,Sección Escuela,SEC,SEC ESC MARCO FIDEL SUAREZ,Zona Nororiental,Comuna,3,Manrique,Manrique Central #2,Urbano,Alta,Fuente oficial SED Medellín.,Activa,index.html?sede=MED-916-024#registro,66,31
MED-916-025,916,Sección Escuela,SEC,SEC ESC NUESTRA SEÑORA DE LAS NIEVES,Zona Nororiental,Comuna,3,Manrique,Campo Valdés #2,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-025#registro,66,31
MED-916-026,916,Sección Escuela,SEC,SEC ESC SAN JOSE,Zona Nororiental,Comuna,3,Manrique,Por verificar en directorio oficial; núcleo 916 (Manrique),Urbano,Baja,No se identificó barrio/vereda por nombre de sede; requiere validación con dirección oficial.,Activa,index.html?sede=MED-916-026#registro,66,31
MED-916-027,916,Sección Escuela,SEC,SEC ESC SAN LORENZO DE ABURRA,Zona Nororiental,Comuna,3,Manrique,Manrique,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-027#registro,66,31
MED-916-028,916,Sección Escuela,SEC,SEC ESC SANTA BERNARDITA,Zona Nororiental,Comuna,3,Manrique,Las Granjas,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-028#registro,66,31
MED-916-029,916,Sección Escuela,SEC,SEC ESC VERSALLES,Zona Nororiental,Comuna,3,Manrique,Versalles #1,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-029#registro,66,31
MED-916-030,916,Sección Escuela,SEC,SEC ESC VICTOR GOMEZ RESTREPO,Zona Nororiental,Comuna,3,Manrique,Campo Valdés #2,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-916-030#registro,66,31
MED-917-001,917,Institución Educativa,IE,INST EDUC ALFONSO MORA NARANJO,Zona Nororiental,Comuna,4,Aranjuez,Manrique Central / Aranjuez,Urbano,Media,Inferencia territorial; revisar dirección oficial.,Activa,index.html?sede=MED-917-001#registro,55,31
MED-917-002,917,Institución Educativa,IE,INST EDUC ALVERNIA,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-002#registro,55,31
MED-917-003,917,Institución Educativa,IE,INST EDUC CAMILO TORRES RESTREPO,Zona Nororiental,Comuna,4,Aranjuez,Campo Valdés #1,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-003#registro,55,31
MED-917-004,917,Institución Educativa,IE,INST EDUC CAMPO VALDES,Zona Nororiental,Comuna,4,Aranjuez,Campo Valdés,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-004#registro,55,31
MED-917-005,917,Institución Educativa,IE,INST EDUC FRANCISCO MIRANDA,Zona Nororiental,Comuna,4,Aranjuez,Miranda,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-005#registro,55,31
MED-917-006,917,Institución Educativa,IE,INST EDUC JAVIERA LONDOÑO-SEVILLA,Zona Nororiental,Comuna,4,Aranjuez,Sevilla,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-006#registro,55,31
MED-917-007,917,Institución Educativa,IE,INST EDUC JOSE MARIA BRAVO MARQUEZ,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-007#registro,55,31
MED-917-008,917,Institución Educativa,IE,INST EDUC JUAN DE DIOS COCK,Zona Nororiental,Comuna,4,Aranjuez,Manrique Central,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-008#registro,55,31
MED-917-009,917,Institución Educativa,IE,INST EDUC SAN JUAN BOSCO,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-009#registro,55,31
MED-917-010,917,Sección Escuela,SEC,SEC ESC ATANASIO GIRARDOT,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-010#registro,55,31
MED-917-011,917,Sección Escuela,SEC,SEC ESC CARLOS VASQUEZ LATORRE,Zona Nororiental,Comuna,4,Aranjuez,Campo Valdés,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-011#registro,55,31
MED-917-012,917,Sección Escuela,SEC,SEC ESC CRESCENCIO SALCEDO MONROY,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-012#registro,55,31
MED-917-013,917,Sección Escuela,SEC,SEC ESC JULIO ARBOLEDA,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-013#registro,55,31
MED-917-014,917,Sección Escuela,SEC,SEC ESC PORFIRIO BARBA JACOB,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-014#registro,55,31
MED-917-015,917,Sección Escuela,SEC,SEC ESC SANTA MARIA GORETTI,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-917-015#registro,55,31
MED-918-001,918,Institución Educativa,IE,INST EDUC EL BOSQUE,Zona Nororiental,Comuna,4,Aranjuez,Moravia / El Bosque,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-001#registro,55,31
MED-918-002,918,Institución Educativa,IE,INST EDUC FE Y ALEGRIA LUIS AMIGO,Zona Nororiental,Comuna,4,Aranjuez,Moravia,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-002#registro,55,31
MED-918-003,918,Institución Educativa,IE,INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-003#registro,55,31
MED-918-004,918,Institución Educativa,IE,INST EDUC GILBERTO ALZATE AVENDAÑO,Zona Nororiental,Comuna,4,Aranjuez,San Isidro,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-004#registro,55,31
MED-918-005,918,Institución Educativa,IE,INST EDUC JOSE EUSEBIO CARO,Zona Nororiental,Comuna,4,Aranjuez,Berlín,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-005#registro,55,31
MED-918-006,918,Institución Educativa,IE,INST EDUC LORENZA VILLEGAS DE SANTOS,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-006#registro,55,31
MED-918-007,918,Institución Educativa,IE,INST EDUC MONSEÑOR FRANCISCO CRISTOBAL TORO,Zona Nororiental,Comuna,4,Aranjuez,Aranjuez,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-918-007#registro,55,31
